"X","Deal.Type","Primary.Asset.Type","Investors.Buyers.Firms.","Bought.From.Sellers.Firms.","Asset.Cities","Assets.Types","Assets","Buyer.Type","Seller.Type","Deal.Size.Usd.Mn.","No.Of.Assets","Total.Size.Sq.Ft.","distance.x","Year_Month","Town","distance","Fed_Rate","Labor_Force","Employment","Unemployment","Unemployment_Rate","HomeValue","Date_Year","Estimate.Own.children.under.6.years","Estimate.Own.children.6.to.17.years","Estimate.Car..truck..or.van....drove.alone","Estimate.Car..truck..or.van....carpooled","Estimate.Public.transportation..excluding.taxicab.","Estimate.Walked","Estimate.Worked.at.home","Estimate.Mean.travel.time.to.work..minutes.","Estimate.Management..business..science..and.arts.occupations","Estimate.Service.occupations","Estimate.Sales.and.office.occupations","Estimate.Natural.resources..construction..and.maintenance.occupations","Estimate.Production..transportation..and.material.moving.occupations","Estimate.Agriculture..forestry..fishing.and.hunting..and.mining","Estimate.Construction","Estimate.Manufacturing","Estimate.Wholesale.trade","Estimate.Retail.trade","Estimate.Transportation.and.warehousing..and.utilities","Estimate.Information","Estimate.Finance.and.insurance..and.real.estate.and.rental.and.leasing","Estimate.Professional..scientific..and.management..and.administrative.and.waste.management.services","Estimate.Educational.services..and.health.care.and.social.assistance","Estimate.Arts..entertainment..and.recreation..and.accommodation.and.food.services","Estimate.Other.services..except.public.administration","Estimate.Public.administration","Estimate.Private.wage.and.salary.workers","Estimate.Government.workers","Estimate.Self.employed.in.own.not.incorporated.business.workers","Estimate.Unpaid.family.workers","Estimate.Median.household.income..dollars.","Estimate.With.earnings","Estimate.With.Social.Security","Estimate.With.retirement.income","Estimate.With.Supplemental.Security.Income","Estimate.With.cash.public.assistance.income","Estimate.With.Food.Stamp.SNAP.benefits.in.the.past.12.months","Estimate.With.health.insurance.coverage","Estimate.With.health.insurance.coverage..With.private.health.insurance","Estimate.With.health.insurance.coverage..With.public.coverage","Estimate.No.health.insurance.coverage","Opportunity_Zone","Year","Address","longitude","latitude","long_center","lat_center","sanity_check","full_address","lat.census.town","lon.census.town"
2171,"Single Asset","Office","Canyon Partners, Pacshore Partners","Unidentified Seller/s","Los Angeles","Office, Creative/Loft","The Annex","Fund Manager","Other",36.2,NA,118000,NA,"2013-07","Los Angeles",11854.7656455754,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"The Annex, Los Angeles, California",-118.3712862,34.052125,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2172,"Single Asset","Industrial","New York State Common Retirement Fund, Artemis Real Estate Partners, CT Realty Investors","Unidentified Seller/s","Los Angeles","Industrial, Distribution Warehouse, Manufacturing","17311 Nichols Lane","Investor, Fund Manager","Other",10.6,NA,114912,NA,"2013-07","Los Angeles",135.91666741343,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"17311 Nichols Lane, Los Angeles, California",-118.242643,34.0549076,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2175,"Single Asset","Office","Westbrook Partners, Ocean West Capital Partners","Jamison","Los Angeles","Office, Creative/Loft","Westwood Terrace Building","Fund Manager, Fund Manager","Fund Manager",54,NA,150632,NA,"2013-07","Los Angeles",18635.6903835145,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Westwood Terrace Building, Los Angeles, California",-118.4447246,34.048617,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2178,"Single Asset","Mixed Use","GI Partners","Hines","Los Angeles","Office, Retail","One Wilshire","Fund Manager","Fund Manager",437.5,NA,664248,NA,"2013-07","Los Angeles",1340.55258555552,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"One Wilshire, Los Angeles, California",-118.2555679,34.0479889,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2180,"Single Asset","Office","GI Partners","Hines","Los Angeles","Office","2200 and 2230 East Imperial Highway","Fund Manager","Fund Manager",112.5,NA,550580,NA,"2013-07","Los Angeles",13931.0945126351,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"2200 and 2230 East Imperial Highway, Los Angeles, California",-118.2329181,33.9288124,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2183,"Single Asset","Office","Willow Bridge Property Company, Centennial, Linwood Investments","Embarcadero Capital Partners","Los Angeles","Office","17383 Sunset Boulevard","Fund Manager, Fund Manager","Fund Manager",36.7,NA,103800,NA,"2013-07","Los Angeles",28889.5310450548,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"17383 Sunset Boulevard, Los Angeles, California",-118.5554883,34.0392419,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2186,"Single Asset","Residential","New Standard Equities","Unidentified Seller/s","Los Angeles","Multi-Family, Residential, Condominium","Cavalleri Malibu","Fund Manager","Other",36.7,NA,NA,NA,"2013-07","Los Angeles",51869.14288,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Cavalleri Malibu, Los Angeles, California",-118.8038635,34.0233459,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2187,"Single Asset","Residential","New Standard Equities","Unidentified Seller/s","Los Angeles","Multi-Family, Residential, Condominium","Cavalleri Malibu","Fund Manager","Other",36.7,NA,NA,NA,"2013-07","Los Angeles",51869.14288,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Cavalleri Malibu, Los Angeles, California",-118.8038635,34.0233459,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2189,"Single Asset","Industrial","CenterPoint Properties","Unidentified Seller/s","Los Angeles","Flex, Industrial, Logistics, Office","5800 Sheila Street","Fund Manager","Other",36.7,NA,266695,NA,"2013-07","Los Angeles",10346.6125091265,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"5800 Sheila Street, Los Angeles, California",-118.1540603,33.996824,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2192,"Single Asset","Office","Artemis Real Estate Partners, Centennial, Lincoln Property Company","Long Wharf Capital","Los Angeles","Medical Office, Office, Office - R&D","2825 Santa Monica Boulevard","Fund Manager, Fund Manager","Fund Manager",27.5,NA,54246,NA,"2013-07","Los Angeles",5579.05728929233,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"2825 Santa Monica Boulevard, Los Angeles, California",-118.2810065,34.0925294,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2193,"Single Asset","Office","Nuveen","Dune Real Estate Partners, JPI","Los Angeles","Residential, Multi-Family","Oceano Warner Center","Fund Manager","Fund Manager, Fund Manager",84,NA,250000,NA,"2013-07","Los Angeles",35556.9945482256,0.09,6537895,5944386,593509,9.1,470858.108636276,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Oceano Warner Center, Los Angeles, California",-118.5975107,34.1792694,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2140,"Single Asset","Retail","Investcorp, ScanlanKemperBard Companies","Praedium Group","Los Angeles","Retail, Shopping Center","Mountaingate Plaza","Fund Manager, Fund Manager","Fund Manager",84,NA,246000,NA,"2013-08","Los Angeles",23239.3094527189,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Mountaingate Plaza, Los Angeles, California",-118.4853134,34.1104921,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2146,"Single Asset","Office","Douglas Emmett","Kennedy Wilson","Los Angeles","Office","16501 Ventura Boulevard","Fund Manager","Fund Manager",61,NA,191000,NA,"2013-08","Los Angeles",25829.2429093013,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"16501 Ventura Boulevard, Los Angeles, California",-118.4929314,34.158243,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2154,"Single Asset","Office","HighBrook Investors","Unidentified Seller/s","Los Angeles","Office, Creative/Loft","The Landing at Playa Vista","Fund Manager","Other",16.8,NA,102822,NA,"2013-08","Los Angeles",17828.9766810462,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"The Landing at Playa Vista, Los Angeles, California",-118.4138353,33.9792232,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2158,"Single Asset","Residential","Trion Properties","Unidentified Seller/s","Los Angeles","Residential, Multi-Family","The Eleanor","Fund Manager","Other",1.6,NA,NA,NA,"2013-08","Los Angeles",3045.59523766096,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"The Eleanor, Los Angeles, California",-118.274061,34.0624264,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2160,"Single Asset","Residential","Unidentified Buyer/s","CP Capital US Partners","Los Angeles","Condominium, Residential, Multi-Family, Retail","Santee Village Lofts","Other","Fund Manager",1.6,1,780000,NA,"2013-08","Los Angeles",19201.6881942135,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Santee Village Lofts, Los Angeles, California",-118.4505357,34.0648779,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2161,"Single Asset","Niche","CNL Financial Group","Cedar Fair Entertainment Company","Los Angeles","Niche, Leisure/Entertainment","Knott's Soak City","Fund Manager","Other",1.6,NA,NA,NA,"2013-08","Los Angeles",135.91666741343,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Knott's Soak City, Los Angeles, California",-118.242643,34.0549076,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2166,"Single Asset","Retail","Cypress Equities, Unidentified Buyer/s","Unidentified Seller/s","Los Angeles","Retail, Shopping Center","Glendale Marketplace","Fund Manager, Other","Other",1.6,NA,154662,NA,"2013-08","Los Angeles",10266.343813773,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Glendale Marketplace, Los Angeles, California",-118.2544194,34.1454088,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2168,"Single Asset","Retail","HP Investors","Unidentified Seller/s","Los Angeles","Retail","6300 Hollywood Boulevard","Fund Manager","Other",1.6,NA,10823,NA,"2013-08","Los Angeles",9408.7760095527,0.08,6537089,5948974,588115,9,479435.457676048,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"6300 Hollywood Boulevard, Los Angeles, California",-118.3269231,34.1014909,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2114,"Single Asset","Office","Madison International Realty","Beacon Capital Partners","Los Angeles","Office","One California Plaza","Fund Manager","Fund Manager",295,NA,1003000,NA,"2013-09","Los Angeles",817.601638778208,0.08,6528552,5950544,578008,8.9,489461.462934509,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"One California Plaza, Los Angeles, California",-118.2514745,34.0523179,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2118,"Single Asset","Land","Willow Bridge Property Company","Unidentified Seller/s","Los Angeles","Land, Development Site","1110-1212 South 5th Avenue","Fund Manager","Other",13.1,NA,NA,NA,"2013-09","Los Angeles",7991.72578050571,0.08,6528552,5950544,578008,8.9,489461.462934509,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"1110-1212 South 5th Avenue, Los Angeles, California",-118.3224179,34.0254517,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2124,"Single Asset","Retail","Paragon Commercial Group","Unidentified Seller/s","Los Angeles","Retail, Shopping Center","Woodland Hills Shopping Center","Fund Manager","Other",13.1,NA,112649,NA,"2013-09","Los Angeles",35820.0043939755,0.08,6528552,5950544,578008,8.9,489461.462934509,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Woodland Hills Shopping Center, Los Angeles, California",-118.6058267,34.1685035,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2133,"Single Asset","Residential","Canyon Partners","Unidentified Seller/s","Los Angeles","Residential, Multi-Family","The Fountains at Palmdale","Fund Manager","Other",13.1,NA,NA,NA,"2013-09","Los Angeles",135.91666741343,0.08,6528552,5950544,578008,8.9,489461.462934509,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"The Fountains at Palmdale, Los Angeles, California",-118.242643,34.0549076,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2136,"Single Asset","Office","Kennedy Wilson","Jamison","Los Angeles","Office","5161 Lankershim Boulevard","Fund Manager","Fund Manager",37.9,NA,188366,NA,"2013-09","Los Angeles",17305.6444604556,0.08,6528552,5950544,578008,8.9,489461.462934509,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"5161 Lankershim Boulevard, Los Angeles, California",-118.3747284,34.1642783,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2078,"Single Asset","Residential","Carmel Partners","Unidentified Seller/s","Los Angeles","Residential, Multi-Family","Alder","Fund Manager","Other",37.9,NA,260563,NA,"2013-10","Los Angeles",5888.40124833951,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Alder, Los Angeles, California",-118.2248396,34.1044607,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2082,"Single Asset","Residential","Kraemer Land Company, Unidentified Buyer/s","Unidentified Seller/s","Los Angeles","Residential, Single Family","Prism","Fund Manager, Other","Other",37.9,NA,NA,NA,"2013-10","Los Angeles",5179.3249834775,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Prism, Los Angeles, California",-118.2838107,34.0219437,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2084,"Single Asset","Retail","Thor Equities","L3 Capital","Los Angeles","Retail","145 North Robertson Boulevard","Fund Manager","Fund Manager",27,NA,13880,NA,"2013-10","Los Angeles",13266.5336716044,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"145 North Robertson Boulevard, Los Angeles, California",-118.38396,34.0765353,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2090,"Single Asset","Mixed Use","Hudson Pacific Properties","Unidentified Seller/s","Los Angeles","Office, Retail","1861 South Bundy Drive","Fund Manager","Other",11.5,NA,33911,NA,"2013-10","Los Angeles",19924.0335125411,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"1861 South Bundy Drive, Los Angeles, California",-118.4576078,34.0351594,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2091,"Single Asset","Office","Oaktree Capital Management, Hines","Unidentified Seller/s","Los Angeles","Office, Office - R&D","Savi Tech Center","Fund Manager, Fund Manager","Other",11.5,NA,372327,NA,"2013-10","Los Angeles",135.91666741343,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Savi Tech Center, Los Angeles, California",-118.242643,34.0549076,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2092,"Single Asset","Residential","JB Matteson","AvalonBay Communities","Los Angeles","Residential, Multi-Family","Vanoni Ranch","Fund Manager","Fund Manager",82,NA,497004,NA,"2013-10","Los Angeles",135.91666741343,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Vanoni Ranch, Los Angeles, California",-118.242643,34.0549076,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2094,"Single Asset","Hotel","Northwood Investors","Blackstone Group","Los Angeles","Hotel, Full Service","The London West Hollywood","Fund Manager","Fund Manager",195,NA,NA,NA,"2013-10","Los Angeles",13728.7441898974,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"The London West Hollywood, Los Angeles, California",-118.3850689,34.089957,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2104,"Single Asset","Residential","Hanover Real Estate Investors","Unidentified Seller/s","Los Angeles","Multi-Family, Residential, Mid/High Rise Multi-Family","Micropolitan at Urban Lights Apartments","Fund Manager","Other",195,NA,45844,NA,"2013-10","Los Angeles",10791.6406575073,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Micropolitan at Urban Lights Apartments, Los Angeles, California",-118.3592373,34.0630235,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2106,"Single Asset","Office","Atlantic Pearl Investments","Jamison","Los Angeles","Office","1990 Westwood Boulevard","Fund Manager","Fund Manager",12,NA,53552,NA,"2013-10","Los Angeles",17659.6840192452,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"1990 Westwood Boulevard, Los Angeles, California",-118.4340627,34.0469906,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2110,"Single Asset","Office","NBC Universal, Comcast Corporation","Columbia Real Estate Management","Los Angeles","Office","10 Universal City Plaza","Other","Fund Manager",420,1,1426324,NA,"2013-10","Los Angeles",14453.5194249165,0.09,6517373,5951824,565549,8.7,500927.641051372,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"10 Universal City Plaza, Los Angeles, California",-118.3616554,34.1383379,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2050,"Single Asset","Mixed Use","Rising Realty Partners","TPG Angelo Gordon, Cambra Realty","Los Angeles","Office, Restaurant, Retail","Old Pasadena Plaza","Fund Manager","Fund Manager, Fund Manager",10.9,NA,72782,NA,"2013-11","Los Angeles",13255.3278085801,0.08,6508893,5955898,552995,8.5,514097.543918318,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Old Pasadena Plaza, Los Angeles, California",-118.1517653,34.1458891,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2056,"Single Asset","Mixed Use","Unidentified Buyer/s","MJW Investments","Los Angeles","Distribution Warehouse, Industrial, Retail, Mixed Use","Landmark Boyle Heights Sears Building","Other","Fund Manager",29,NA,1800000,NA,"2013-11","Los Angeles",3807.61871991938,0.08,6508893,5955898,552995,8.5,514097.543918318,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Landmark Boyle Heights Sears Building, Los Angeles, California",-118.2210759,34.0245895,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
2066,"Single Asset","Residential","Pacific Urban Investors","Unidentified Seller/s","Los Angeles","Residential, Multi-Family","Vue at Montrose","Fund Manager","Other",29,NA,86163,NA,"2013-11","Los Angeles",16626.0649681735,0.08,6508893,5955898,552995,8.5,514097.543918318,2013,"289039","528264","1208917","177631","194310","65090","97778",29.9,"656383","390415","433279","150399","220680",8409,113546,163939,52600,198244,78737,109975,111314,253607,359760,228189,134299,38537,1462936,164310,220988,2922,48466,1088579,273590,123927,93134,57176,128757,2922899,1880956,1252683,934500,1,2013,"Vue at Montrose, Los Angeles, California",-118.222734,34.202122,-118.242766,34.0536909,"Pass","Los Angeles, California",34.0536909,-118.242766
